"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
27,3,23,"female",10,2,1.4819223999948,1,"effect"
27,3,23,"female",11,9,6.78011530000367,9,"effect"
27,3,23,"female",12,4,2.21333939999749,4,"effect"
28,1,23,"female",1,5,5.3135626000003,6,"baseline"
28,1,23,"female",2,3,2.04687099999865,3,"baseline"
28,1,23,"female",3,9,8.41291420000198,9,"baseline"
28,1,23,"female",4,4,2.91263179999805,4,"baseline"
28,1,23,"female",5,2,1.48204729999998,2,"baseline"
28,1,23,"female",6,7,5.9106391000023,7,"baseline"
28,1,23,"female",7,3,2.04913800000213,3,"effect"
28,1,23,"female",8,6,4.86202019999473,6,"effect"
28,1,23,"female",9,5,4.1594705000025,6,"effect"
28,1,23,"female",10,2,1.54820479999762,3,"effect"
28,1,23,"female",11,9,8.44581330000074,9,"effect"
28,1,23,"female",12,4,2.51477000000159,4,"effect"
29,2,21,"male",1,5,4.40461249999498,6,"baseline"
29,2,21,"male",2,3,3.43142719999742,4,"baseline"
29,2,21,"male",3,9,8.26416770000651,10,"baseline"
29,2,21,"male",4,4,4.72842359999777,6,"baseline"
29,2,21,"male",5,2,2.32223599999998,3,"baseline"
29,2,21,"male",6,7,6.97370840000076,7,"baseline"
29,2,21,"male",7,3,3.02273440000135,4,"effect"
29,2,21,"male",8,6,5.13231520000409,6,"effect"
29,2,21,"male",9,5,4.89735249999649,5,"effect"
29,2,21,"male",10,2,1.53942260000622,2,"effect"
29,2,21,"male",11,9,6.77224859999842,8,"effect"
29,2,21,"male",12,4,4.11606310000207,5,"effect"
3,3,19,"female",1,5,4.79471960000228,7,"baseline"
3,3,19,"female",2,3,3.34739149999223,4,"baseline"
3,3,19,"female",3,9,9.39357350001228,9,"baseline"
3,3,19,"female",4,4,4.54369620000944,5,"baseline"
3,3,19,"female",5,2,2.99712040000304,3,"baseline"
3,3,19,"female",6,7,6.87880549998954,7,"baseline"
3,3,19,"female",7,3,3.81552989999182,4,"effect"
3,3,19,"female",8,6,6.6771604000096,6,"effect"
3,3,19,"female",9,5,5.77833760000067,5,"effect"
3,3,19,"female",10,2,2.38002229999984,3,"effect"
3,3,19,"female",11,9,9.26102209999226,8,"effect"
3,3,19,"female",12,4,4.66579099999217,4,"effect"
30,3,22,"female",1,5,5.09560919999785,6.3,"baseline"
30,3,22,"female",2,3,2.99877589999232,4,"baseline"
30,3,22,"female",3,9,8.46303880000778,9.2,"baseline"
30,3,22,"female",4,4,3.2803930999944,4.5,"baseline"
